Chromosome Physical_Pos cM/Mb deCODE
22 16051347 0.0 0.0
22 16052618 0.0 0.0
22 16053624 0.0 0.0
22 16053659 0.0 0.0
22 16053758 0.0 0.0
22 16054713 0.0 0.0
22 16054960 0.0 0.0
22 16055070 0.0 0.0
22 16055171 0.0 0.0
22 16055207 0.0 0.0
22 16059734 0.0 0.0
22 16061016 0.0 0.0
22 16061342 0.0 0.0
22 16069374 0.0 0.0
22 16072292 0.0 0.0
22 16076927 0.0 0.0
22 16079493 0.0 0.0
22 16099437 0.0 0.0
22 16100059 0.0 0.0
22 16102325 0.0 0.0
22 16103902 0.0 0.0
22 16110036 0.0 0.0
22 16112336 0.0 0.0
22 16136814 0.0 0.0
22 16140628 0.0 0.0
22 16173179 0.0 0.0
22 16227431 0.0 0.0
22 16231423 0.0 0.0
22 16252600 0.0 0.0
22 16267521 0.0 0.0
22 16317416 0.0 0.0
22 16335506 0.0 0.0
22 16343553 0.0 0.0
22 16343811 0.0 0.0
22 16344414 0.0 0.0
22 16344572 0.0 0.0
22 16345582 0.0 0.0
22 16345954 0.0 0.0
22 16345981 0.0 0.0
22 16346071 0.0 0.0
22 16347194 0.0 0.0
22 16351379 0.0 0.0
22 16351604 0.0 0.0
22 16351852 0.0 0.0
22 16352357 0.0 0.0
22 16364825 0.0 0.0
22 16365495 0.0 0.0
22 16365570 0.0 0.0
22 16407120 0.0 0.0
22 16456970 0.0 0.0
22 16473585 0.0 0.0
22 16489239 0.0 0.0
22 16490204 0.0 0.0
22 16494095 0.0 0.0
22 16494187 0.0 0.0
22 16494473 0.0 0.0
22 16494682 0.0 0.0
22 16500040 0.0 0.0
22 16504399 0.0 0.0
22 16506368 0.0 0.0
22 16515222 0.0 0.0
22 16587208 0.0 0.0
22 16598987 0.0 0.0
22 16609899 0.0 0.0
22 16616145 0.0 0.0
22 16619031 0.0 0.0
22 16629152 0.0 0.0
22 16630874 0.0 0.0
22 16631921 0.0 0.0
22 16632034 0.0 0.0
22 16633820 0.0 0.0
22 16644918 0.0 0.0
22 16649282 0.0 0.0
22 16662015 0.0 0.0
22 16682084 0.0 0.0
22 16851640 0.0 0.0
22 16855274 0.0 0.0
22 16855303 0.0 0.0
22 16855618 0.0 0.0
22 16855788 0.0 0.0
22 16858253 0.0 0.0
22 16858287 0.0 0.0
22 16858684 0.0 0.0
