indivID,panelID,scale_marginal,se_marginal,se_scale_marginal_fd,scale_jt,se_scale_jt,eps_jt,se_eps_jt,nsnps,nref_haps
I0172,ceu,445.2749555689695,3.982112434032219,3.971788566572261,414.76133585519574,3.6252049425654436,0.004297560439021984,0.00011305480235013184,22919,49
Loschbour_snpAD.DG,ceu,414.61068792085007,3.8554018218411765,3.800421767360975,400.68982890376213,138.16297411720848,0.002127942202277045,0.0016279260311528425,25426,49
I0585,ceu,462.6749943870777,4.5971072855997015,4.607756102667226,439.568829420961,753.6243427184543,0.0033141386372042437,0.016738077322004972,17521,49
BR2.SG,ceu,548.0431975960716,4.5831397440372825,4.60060558618899,505.97015096212095,747.6237041651948,0.004622353877948283,0.012192096473252879,29116,49
I0412,ceu,407.66660840356917,3.9501090226520983,3.887557314544062,395.82121437447006,2.435242882339886,0.0024608179963057,5.391275663864581e-05,16748,49
I6747_all.SG,ceu,472.3355213077308,4.07054468804487,4.082545484506954,449.25440287737865,192.91660570663637,0.0030920156813206796,0.001326614415866797,28572,49
SZ43.SG,ceu,531.6036965092899,4.446488711001251,4.465984751856084,503.0003651001003,34257.48826643857,0.0033466730708880243,1.6112421230974134,28927,49
SZ4.SG,ceu,480.5788525948114,4.17351018486592,4.189928486484378,448.346243986738,261.7521109243443,0.004243091144453602,0.0022079330934527647,28949,49
rath1.SG,ceu,485.1260167039654,4.113932946330278,4.131451913105577,447.87320382720605,8.356838965654973,0.004573089341891036,0.00015908295392797638,28937,49
SZ15.SG,ceu,422.7221142701713,3.7411043485599738,3.7012186575505805,405.7160754309052,157.00357327447918,0.002548606629912721,0.010724385537098449,28737,49
SZ45.SG,ceu,590.9165646730423,5.03732990576068,5.066762511970026,540.7906052107481,19.738513642523756,0.004880252772013273,0.00020414038127288225,28888,49
SZ11.SG,ceu,457.2756513985596,4.056205867679953,4.060390120803165,419.05529800541376,2008.2971124600701,0.004322590914779694,0.04461048901714082,28826,49
POST_6,ceu,520.5096077109134,5.118722098892409,5.144156609092649,520.504963427049,18.287229509661564,0.010253322152519116,0.00018890298117348546,18759,49
Bichon.SG,ceu,304.1462660669574,2.9267410473324356,2.9569120677416336,290.9044718636167,1.5514798800773406,0.003222769584768718,0.0006370085032110074,27552,49
I0160.SG,ceu,518.6871395143146,4.576364106625448,4.599917511112019,493.8888034504773,191.9605622681578,0.0025001690991685345,0.005608440250005021,27145,49
I2452,ceu,348.92185212830447,3.5383561512940607,3.5446930585588463,326.6012000528999,1169.49780603037,0.003938214490682402,0.021819749779600245,16267,49
I0449,ceu,452.5478327138039,4.433305075160536,4.430363532759271,451.10115311797455,184.1365915322384,0.00219899944092783,0.006900385750420423,15459,49
I2445,ceu,368.69421653879584,3.8800431900640966,3.8540437700644503,345.47815720174714,122.85102486328135,0.004238906818858237,0.020393463502320845,14585,49
SZ2.SG,ceu,478.3917356471686,4.146530408694468,4.162714237707576,456.1499014367015,36627.88296081071,0.0031717853111444235,0.14384915629497538,27960,49
SZ5.SG,ceu,581.2362994607174,4.880123389775024,4.903792393637269,554.4091686655944,96.75171819207208,0.0037630713857500797,0.029071487989836563,27781,49
RISE98.SG,ceu,418.87718709556196,3.915022835061592,3.864324840288712,390.4063191327518,446.20247630137953,0.005147190679731186,0.014045630093321755,21042,49
I2860,ceu,426.0021770785423,4.26842690213988,4.223352116526177,424.34811050995836,208.74825720259895,0.0020775431647327845,0.0001213571644572233,13960,49
I2932,ceu,393.73037144588574,4.26820252005532,4.2014328817449975,382.4199094756891,3.948630690583,0.002654255123976357,0.00015627364263298205,13064,49
I2630,ceu,425.02056784265045,4.28553630641569,4.238468278375834,404.64214130883107,1460.660543238623,0.0031679740797128254,0.06994271584383337,16844,49
SZ3.SG,ceu,634.2286857789089,5.255017019736332,5.283270083433053,588.2913643081695,1.0,0.004642358880948315,1.0,28944,49
SZ36.SG,ceu,643.4477201465497,5.210483361248677,5.234246634958158,601.8995214703588,657.6679387612704,0.004017653946730126,0.008550873158461885,27142,49
I2935,ceu,394.37242859448304,4.069987944995243,4.0067622579289655,384.5777553935185,255.04612311496166,0.002511003028103376,0.004386420862570844,13277,49
I5838,ceu,478.7398440910818,5.215013816986181,5.238588943360559,454.8323387468001,1.0,0.0036081647153990695,1.0,11276,49
AITI_43,ceu,418.6912444295394,3.966817095915099,3.915508212078305,416.840402173374,232.8770003890458,0.0027397688682039645,0.0027975836298156386,16136,49
I2447,ceu,360.46333658404893,3.5909557042485174,3.581128401770292,338.2141026051024,147.5527827557225,0.004055923296617646,0.020115025968992305,16258,49
