indivID,panelID,scale_marginal,se_marginal,se_scale_marginal_fd,scale_jt,se_scale_jt,eps_jt,se_eps_jt,nsnps,nref_haps
I1137_all_published,ceu,1375.2458059912326,47.237992864570835,46.31812225027897,1268.975115594649,1.0154567251704316,0.08103439690269874,0.003232578286945742,1403,49
I4451_all,ceu,1120.4474671025866,10.79730893867847,10.845776045395304,923.8598175264073,5.585431362405722,0.035392739801561164,0.00038794211661815654,11503,49
I1137,ceu,1311.934977325558,54.53209846733564,54.05039544648043,923.7600145809097,1.2882588958637022,0.110795284495042,0.0033565531707446285,1112,49
I1781,ceu,703.0350776202795,11.134433634727005,11.05772130884113,672.3480845307721,1.2130743955957595,0.01895900879031866,0.0010356416102673325,3718,49
I2085,ceu,1017.0369653503748,32.76981631622783,33.105191792363556,923.6785813777592,1.0392374892332958,0.028316911645989817,0.0019773685588135173,1598,49
I2087,ceu,968.206354871211,54.66871715284741,55.47778887875929,672.3687663547151,1.1338237108290652,0.06280363479922152,0.003934522306906262,742,49
I2927,ceu,813.8326007929451,11.282933619969135,11.194776650824636,672.3878988174806,3.799443248433782,0.01537759070490966,0.000652018797931823,4954,49
I3807,ceu,313982.3330290462,36368.8542416871,15134.890893473044,108263.6726246638,1.0000417701793638,0.08444573677303427,0.0035028142063147365,1551,49
I3981,ceu,718.6468323908812,9.168704281048841,9.073033189035337,672.3665097705959,1.870148309734837,0.020466422683702915,0.0005866028223394515,6895,49
I4055_published,ceu,1107.8436115855447,72.739023583373,71.55640196016842,923.6768187124704,1.0080134885302376,0.04799714961210023,0.0008963282188777264,607,49
I4246_published,ceu,998.5125762871355,11.041003213972056,11.069111586982892,923.7202182906077,1.989108009663597,0.029713377086821986,0.0005360358478458956,10105,49
I4451,ceu,1054.2652174026448,10.591308986022042,10.589955891087902,923.7722612863189,3.6163709548390846,0.030183385077248374,0.0005514611312814046,9871,49
I7207,ceu,463.53541040403775,4.519468091868033,4.528419270105572,489.3649865012881,2.825274203758358,0.010499534591118064,0.0002709383236344834,12268,49
I7208,ceu,391.0061257028183,4.059120974790722,4.000697787860753,356.28449029935655,5.673303684467316,0.011690441401592576,9.27108129692535e-05,12899,49
I7209,ceu,447.6249592253906,4.48834309037392,4.479032219431209,356.40144906893374,13.896382006298397,0.013745042023263713,8.857345777357051e-05,14691,49
